Número do Processo (Não edite);ID (Não edite);Item (Não edite);Produto (Não edite);Quantidade (Não edite);Modelo (Insira as informações quando aplicável);Marca/Fabricante (Insira as informações quando aplicável);Código de Registro na ANVISA (Insira as informações quando aplicável);Descrição detalhada do Item (Insira as informações);Valor unitário (Insira as informações);Valor total (Insira as informações)
011/2023;11809;59;GEL P/ ECG E ULTRASON 1000G,;200;;;;;;
011/2023;11810;60;IODOPOLIVIDONA DEGERMANTE 10% C/ 1 LITRO,;200;Vic;Vic;;IODOPOLIVIDONA DEGERMANTE 10% C/ 1LITRO;42,9;8580
011/2023;11811;61;IODOPOLIVIDONA TÓPICO 10% C/ 1 LITRO,;200;;;;;;
011/2023;11812;62;KIT P/ NEBULIZADOR ADULTO Conjunto completo com micro nebulizador, extensão com, CONECTOR PARA AR COMPRIMIDO OU OXIGÊNIO, MÁSCARA ADULTO, DE FÁCIL LIMPEZA E PRÁTICO MANUSEIO,;200;;;;;;
011/2023;11813;63;KIT P/ NEBULIZADOR INFANTIL, Conjunto completo com micro nebulizador, extensão com conector para ar comprimido ou oxigênio, máscara infantil, de fácil limpeza e prático manuseio,;200;;;;;;
011/2023;11814;64;LENÇOL PARA MACA, ALGODAO CRU EXP, L, COM 1,70X1,00 COM NO MINIMO 180 FIOS, COM ELASTICO NAS LATERAIS,;200;;;;;;
011/2023;11815;65;LAMINA BISTURI Nº 11, descartável, estéril, em aço inoxidável, sem rebarbas, com corte afiado e que adaptem aos cabos de bisturi padrão, Embalagem individual, em papel laminado, abertura em pétala,;5000;;;;;;
011/2023;11816;66;LAMINA BISTURI Nº 15 DESCARTÁVEL, ESTÉRIL, EM AÇO INOXIDÁVEL, SEM REBARBAS,, ,COM CORTE AFIADO E QUE ADAPTEM AOS CABOS DE BISTURI PADRÃO, EMBALAGEM INDIVIDUAL, EM PAPEL LAMINADO, ABERTURA EM PÉTALA,;5000;;;;;;
011/2023;11817;67;LAMINA BISTURI Nº 21 DESCARTÁVEL, ESTÉRIL, EM AÇO INOXIDÁVEL, SEM REBARBAS, , COM CORTE AFIADO E QUE ADAPTEM AOS CABOS DE BISTURI PADRÃO, EMBALAGEM INDIVIDUAL, EM PAPEL LAMINADO, ABERTURA EM PÉTALA,;5000;;;;;;
011/2023;11818;68;LAMINA BISTURI Nº 22 DESCARTÁVEL, ESTÉRIL, EM AÇO INOXIDÁVEL, SEM REBARBAS,, COM CORTE AFIADO E QUE ADAPTEM AOS CABOS DE BISTURI PADRÃO, EMBALAGEM INDIVIDUAL, EM PAPEL LAMINADO, ABERTURA EM PÉTALA,;5000;;;;;;
011/2023;11819;69;LAMINA BISTURI Nº 24 DESCARTÁVEL, ESTÉRIL, EM AÇO INOXIDÁVEL, SEM REBARBAS, , COM CORTE AFIADO E QUE ADAPTEM AOS CABOS DE BISTURI PADRÃO, EMBALAGEM INDIVIDUAL, EM PAPEL LAMINADO, ABERTURA EM PÉTALA,;5000;;;;;;
011/2023;11820;70;LANCETA ESTÉRIL E DESCARTAVÉL SIMPLES PARA PUNÇÃO DIGITAL EM DIABÉTICOS, CAIXA COM 100 UNIDADEES;500;Accumed;Accumed;;LANCETA ESTÉRIL E DESCARTÁVEL SIMPLES PARA PUNÇÃO DIGITAL EM DIABÉTICOS.CAIXA COM 100 UNIDADES;10,27;5135
011/2023;11821;71;LUVA CIRURGICA ESTERIL Nº 6,5 (PAR) - UND, ), em látex natural, com textura uniforme, sem falhas, lubrificada, com alta sensibilidade tátil, boa elasticidade e resistência, com acabamento no punho de formato anatômico, perfeita adaptação, Embalada o par e envelopada,;2000;Medix;Medix;;LUVA CIRÚRGICA ESTÉRIL Nº 6,5 (PAR) UND, EM LÁTEX NATURAL, COM TEXTURA UNIFORME, SEM FALHAS, LUBRIFICADA, COM ALTA SENSIBILIDADE TÁTIL, BOA ELASTICIDADE E RESISTÊNCIA, COM ACABAMENTO NO PUNHO DE FORMATO ANATÔMICO, PERFEITA ADAPTAÇÃO.EMBALADA O PAR E ENVELOPADA.;2,47;4940
011/2023;11822;72;LUVA CIRURGICA ESTERIL Nº 7,0 (PAR) - UND, ), em látex natural, com textura uniforme, sem falhas, lubrificada, com alta sensibilidade tátil, boa elasticidade e resistência, com acabamento no punho de formato anatômico, perfeita adaptação, Embalada o par e envelopada,;2000;Medix;Medix;;LUVA CIRÚRGICA ESTÉRIL Nº 7.0 (PAR) UND, EM LÁTEX NATURAL, COM TEXTURA UNIFORME, SEM FALHAS, LUBRIFICADA, COM ALTA SENSIBILIDADE TÁTIL, BOA ELASTICIDADE E RESISTÊNCIA, COM ACABAMENTO NO PUNHO DE FORMATO ANATÔMICO, PERFEITA ADAPTAÇÃO.EMBALADA O PAR E ENVELOPADA.;2,47;4940
011/2023;11823;73;LUVA CIRURGICA ESTERIL Nº 7,5 (PAR) - UND, ), em látex natural, com textura uniforme, sem falhas, lubrificada, com alta sensibilidade tátil, boa elasticidade e resistência, com acabamento no punho de formato anatômico, perfeita adaptação, Embalada o par e envelopada,;2000;Medix;Medix;;LUVA CIRÚRGICA ESTÉRIL Nº 7.5 (PAR) UND, EM LÁTEX NATURAL, COM TEXTURA UNIFORME, SEM FALHAS, LUBRIFICADA, COM ALTA SENSIBILIDADE TÁTIL, BOA ELASTICIDADE E RESISTÊNCIA, COM ACABAMENTO NO PUNHO DE FORMATOANATÔMICO, PERFEITA ADAPTAÇÃO. EMBALADA O PAR E ENVELOPADA.;2,47;4940
011/2023;11824;74;LUVA CIRURGICA ESTERIL Nº 8,0 (PAR) - UND, ), em látex natural, com textura uniforme, sem falhas, lubrificada, com alta sensibilidade tátil, boa elasticidade e resistência, com acabamento no punho de formato anatômico, perfeita adaptação, Embalada o par e envelopada,;2000;Medix;Medix;;LUVA CIRÚRGICA ESTÉRIL Nº 8.0 (PAR) UND, EM LÁTEX NATURAL, COM TEXTURA UNIFORME, SEM FALHAS, LUBRIFICADA, COM ALTA SENSIBILIDADE TÁTIL, BOA ELASTICIDADE E RESISTÊNCIA, COM ACABAMENTO NO PUNHO DE FORMATOANATÔMICO, PERFEITAADAPTAÇÃO. EMBALADA O PAR E ENVELOPADA.;2,47;4940
011/2023;11825;75;LUVA CIRURGICA ESTERIL Nº 8,5 (PAR) - UND, ), em látex natural, com textura uniforme, sem falhas, lubrificada, com alta sensibilidade tátil, boa elasticidade e resistência, com acabamento no punho de formato anatômico, perfeita adaptação, Embalada o par e envelopada,;2000;Medix;Medix;;LUVA CIRÚRGICA ESTÉRIL Nº 8.5 (PAR), UND EM LÁTEX NATURAL, COM TEXTURA UNIFORME, SEM FALHAS, LUBRIFICADA, COM ALTA SENSIBILIDADE TÁTIL, BOA ELASTICIDADE E RESISTÊNCIA, COM ACABAMENTO NO PUNHO DE FORMATOANATÔMICO, PERFEITA ADAPTAÇÃO. EMBALADA O PAR E ENVELOPADA.;2,47;4940
011/2023;11826;76;LUVA DE PROCEDIMENTO TAMANHO G, LÁTEX DE BORRACHA NATURAL, SUPERFÍCIE LISA, AMBIDESTRA, NÃO ESTERIL COM PÓ BIOABSORVIVEL - caixa com 100 UNIDADEes;2000;Medix;Medix;;LUVA DE PROCEDIMENTO TAMANHO G, LÁTEX DE BORRACHA NATURAL, SUPERFÍCIE LISA, AMBIDESTRA, NÃO ESTÉRIL COM PÓBIOABSORVÍVEL. CAIXA COM 100 UNIDADE;23,4;46800
011/2023;11827;77;LUVA DE PROCEDIMENTO TAMANHO M, LÁTEX DE BORRACHA NATURAL, SUPERFÍCIE LISA, AMBIDESTRA, NÃO ESTERIL COM PÓ BIOABSORVIVEL - caixa com 100 UNIDADEes;3000;Medix;Medix;;LUVA DE PROCEDIMENTO TAMANHO M, LÁTEX DE BORRACHA NATURAL, SUPERFÍCIE LISA,AMBIDESTRA, NÃO ESTÉRIL COM PÓ BIOABSORVÍVEL. CAIXA COM 100 UNIDADE;23,4;70200
011/2023;11828;78;LUVA DE PROCEDIMENTO TAMANHO P, LÁTEX DE BORRACHA NATURAL, SUPERFÍCIE LISA, AMBIDESTRA, NÃO ESTERIL COM PÓ BIOABSORVIVEL caixa com 100 UNIDADEes;3000;Medix;Medix;;LUVA DE PROCEDIMENTO TAMANHO P, LÁTEX DE BORRACHA NATURAL, SUPERFÍCIE LISA, AMBIDESTRA, NÃO ESTÉRIL COM PÓBIOABSORVÍVEL. CAIXA COM 100 UNIDADE;23,4;70200
011/2023;11829;79;LUVA DE PROCEDIMENTO TAMANHO PP, LATEX DE BORRACHA NATURAL, SUPERFICIE LISA, AMBIDESTRA, NÃO ESTERIL COM PÓ BIOABSORVIVEL embalagem com 100 UNIDADEes;3000;Medix;Medix;;LUVA DE PROCEDIMENTO TAMANHO PP, LÁTEX DE BORRACHA NATURAL, SUPERFÍCIE LISA, AMBIDESTRA, NÃO ESTÉRIL COM PÓBIOABSORVÍVEL CAIXA COM 100 UNIDADE;23,4;70200
011/2023;11830;80;LUVA FORRADA PARA LIMPEZA, TAMANHO G, DE BORRACHA, MATERIAL LÁTEX NATURAL, AVELUDADA INTERNAMENTE E ANTIDERRAPANTE EMBALADA O PAR;300;;;;;;
011/2023;11831;81;LUVA FORRADA PARA LIMPEZA, TAMANHO M, DE BORRACHA, MATERIAL LÁTEX NATURAL, AVELUDADA INTERNAMENTE E ANTIDERRAPANTE EMBALADA O PAR;300;;;;;;
011/2023;11832;82;LUVA FORRADA PARA LIMPEZA, TAMANHO P, DE BORRACHA, MATERIAL LÁTEX NATURAL, AVELUDADA INTERNAMENTE E ANTIDERRAPANTE EMBALADA O PAR;3000;;;;;;
011/2023;11833;83;MASCARA DESCARTaVEL C/ ELASTICO, com tripla camada e filtro bacteriano, antialergica, na cor branca, caixa com 50 UNIDADEes;10000;Medlife;Medlife;;MÁSCARA DESCARTÁVEL COM ELÁSTICO, COM TRIPLA CAMADA E FILTRO BACTERIANO, ANTIALÉRGICA, NA COR BRANCA. CAIXA COM50 UNIDADES;7,67;76700
011/2023;11834;84;FIO DE NYLON 1,0 COM AGULHA DE 3CM, ESTÉRIL E DESCARTÁVEL, MONOFILAMENTAR, TRIANGULAR, CUTICULAR, EMBALADO EM ENVELOPE INDIVIDUAL EM PAPEL ALUMINIZADO OU PAPEL GRAU CIRÚRGICO E FILME TERMOPLÁSTICO,;2000;;;;;;
011/2023;11835;85;FIO DE NYLON 1,0 COM AGULHA DE 5CM, ESTÉRIL E DESCARTÁVEL, MONOFILAMENTAR, TRIANGULAR, CUTICULAR, EMBALADO EM ENVELOPE INDIVIDUAL EM PAPEL ALUMINIZADO OU PAPEL GRAU CIRÚRGICO E FILME TERMOPLÁSTICO;2000;;;;;;
011/2023;11836;86;FIO DE NYLON 2,0 COM AGULHA DE 5CM, ESTÉRIL E DESCARTÁVEl, MONOFILAMENTAR, TRIANGULAR, CUTICULAR, EMBALADO EM ENVELOPE INDIVIDUAL EM PAPEL ALUMINIZADO OU PAPEL GRAU CIRÚRGICO E FILME TERMOPLÁSTICO,;2000;;;;;;
011/2023;11837;87;FIO DE NYLON 3,0 COM AGULHA DE 3CM, ESTÉRIL E DESCARTÁVEL, MONOFILAMENTAR, TRIANGULAR, CUTICULAR, EMBALADO EM ENVELOPE INDIVIDUAL EM PAPEL ALUMINIZADO OU PAPEL GRAU CIRÚRGICO E FILME TERMOPLÁSTICO,;2000;;;;;;
011/2023;11838;88;FIO DE NYLON 3,0 COM AGULHA DE 5CM, ESTÉRIL E DESCARTÁVEL, MONOFILAMENTAR, TRIANGULAR, CUTICULAR, EMBALADO EM ENVELOPE INDIVIDUAL EM PAPEL ALUMINIZADO OU PAPEL GRAU CIRÚRGICO E FILME TERMOPLÁSTICO,;2000;;;;;;
011/2023;11839;89;FIO DE NYLON 4,0 COM AGULHA DE 3CM, ESTÉRIL E DESCARTÁVEL, MONOFILAMENTAR, TRIANGULAR, CUTICULAR, EMBALADO EM ENVELOPE INDIVIDUAL EM PAPEL ALUMINIZADO OU PAPEL GRAU CIRÚRGICO E FILME TERMOPLÁSTICO,;2000;;;;;;
011/2023;11840;90;FIO DE NYLON 4,0 COM AGULHA DE 5CM, ESTÉRIL E DESCARTÁVEL, MONOFILAMENTAR, TRIANGULAR, CUTICULAR, EMBALADO EM ENVELOPE INDIVIDUAL EM PAPEL ALUMINIZADO OU PAPEL GRAU CIRÚRGICO E FILME TERMOPLÁSTICO,;2000;;;;;;
011/2023;11841;91;FIO DE NYLON 5,0 COM AGULHA DE 3CM, ESTÉRIL E DESCARTÁVEL, MONOFILAMENTAR, TRIANGULAR, CUTICULAR, EMBALADO EM ENVELOPE INDIVIDUAL EM PAPEL ALUMINIZADO OU PAPEL GRAU CIRÚRGICO E FILME TERMOPLÁSTICO;2000;;;;;;
011/2023;11842;92;FIO DE NYLON 5,0 COM AGULHA DE 5CM, ESTÉRIL E DESCARTÁVEL, MONOFILAMENTAR, TRIANGULAR, CUTICULAR, EMBALADO EM ENVELOPE INDIVIDUAL EM PAPEL ALUMINIZADO OU PAPEL GRAU CIRÚRGICO E FILME TERMOPLÁSTICO,;2000;;;;;;
011/2023;11843;93;FIO DE NYLON 6,0 COM AGULHA DE 3CM, ESTÉRIL E DESCARTÁVEL, MONOFILAMENTAR, TRIANGULAR, CUTICULAR, EMBALADO EM ENVELOPE INDIVIDUAL EM PAPEL ALUMINIZADO OU PAPEL GRAU CIRÚRGICO E FILME TERMOPLÁSTICO,;2000;;;;;;
011/2023;11844;94;FIO DE NYLON 6,0 COM AGULHA DE 5CM, ESTÉRIL E DESCARTÁVEL, MONOFILAMENTAR, TRIANGULAR, CUTICULAR, EMBALADO EM ENVELOPE INDIVIDUAL EM PAPEL ALUMINIZADO OU PAPEL GRAU CIRÚRGICO E FILME TERMOPLÁSTICO,;2000;;;;;;
011/2023;11845;95;PAPEL CREPADO PARA ESTERILIZAÇÃO 60 X 60 PAPEL SMS 60 X 60 CM PARA ESTERILIZAÇÃO, BARREIRA DE PROTEÇÃO MICROBIANA, BAIXA LIBERAÇÃO DE PARTICULAS, TRAMA REGULAR, ANTI- ESTATICO, NÃO-TÓXICO, DOBRADURA ASSÉPTICA, MALEÁVEL E DE FÁCIL MANUSEIO, INCINERÁVEL, COR BRANCO - CAIXA COM 500 UNIDADEES;30;;;;;;
011/2023;11846;96;SCALP Nº 19 HIPODÉRMICO, DESCARTÁVEL, DISPOSITIVO DE INFUSÃO INTRAVENOSA,, ESTÉRIL COM REGISTRO NA ANVISA CAIXA COM 100 UNIDADEES;2000;Labor;Labor;;SCALP Nº19, HIPODÉRMICO, DESCARTÁVEL, DISPOSITIVO DE INFUSÃO INTRAVENOSA,ESTÉRIL, COM REGISTRO NA ANVISA. CAIXA COM 100 UNIDADES.;32,5;65000
011/2023;11847;97;SCALP Nº 21 HIPODÉRMICO, DESCARTÁVEL, DISPOSITIVO DE INFUSÃO INTRAVENOSA, , ESTÉRIL, COM REGISTRO NA ANVISA,;2000;Labor;Labor;;SCALP Nº21, HIPODÉRMICO, DESCARTÁVEL, DISPOSITIVO DE INFUSÃO INTRAVENOSA,ESTÉRIL, COM REGISTRO NA ANVISA.;0,33;660
011/2023;11848;98;SCALP Nº 23 HIPODÉRMICO, DESCARTÁVEL, DISPOSITIVO DE INFUSÃO INTRAVENOSA,, ESTÉRIL, COM REGISTRO NA ANVISA,;2000;Labor;Labor;;SCALP Nº23, HIPODÉRMICO, DESCARTÁVEL,DISPOSITIVO DE INFUSÃO INTRAVENOSA, ESTÉRIL, COM REGISTRO NA ANVISA.;0,33;660
011/2023;11849;99;SCALP Nº 25 HIPODÉRMICO, DESCARTÁVEL, DISPOSITIVO DE INFUSÃO INTRAVENOSA, , ESTÉRIL, COM REGISTRO NA ANVISA,;2000;Labor;Labor;;SCALP Nº25, HIPODÉRMICO, DESCARTÁVEL,DISPOSITIVO DE INFUSÃO INTRAVENOSA, ESTÉRIL, COM REGISTRO NA ANVISA.;0,33;660
011/2023;11850;100;SCALP Nº 27 HIPODÉRMICO, DESCARTÁVEL, DISPOSITIVO DE INFUSÃO INTRAVENOSA, , ESTÉRIL, COM REGISTRO NA ANVISA,;2000;Labor;Labor;;SCALP Nº27, HIPODÉRMICO, DESCARTÁVEL, DISPOSITIVO DE INFUSÃO INTRAVENOSA,ESTÉRIL, COM REGISTRO NA ANVISA.;0,36;720
011/2023;11851;101;SERINGA DESC 10ML COM AGULHA 25X7 COM BICO LUER LOCK ESTÉRIL,;3000;Descarpack;Descarpack;;SERINGA DESCARTÁVEL 10 ML C/ AGULHA 25X 7 COM BICO LUER LOCK, ESTÉRIL.;0,85;2550
011/2023;11852;102;SERINGA DESC 10ML COM AGULHA 25X7 ESTERIL,;3000;Descarpack;Descarpack;;SERINGA DESCARTÁVEL 10 ML C/ AGULHA 25X 7, ESTÉRIL.;0,78;2340
011/2023;11853;103;SERINGA DESCARTÁVEL 20 ML C/ AGULHA 25 X 7 COM BICO LUER LOCK estéril,,;3000;;;;;;
011/2023;11854;104;SERINGA DESCARTÁVEL 20 ML C/ AGULHA 25 X 7 estéril,,;5000;Descarpack;Descarpack;;SERINGA DESCARTÁVEL 20 ML C/ AGULHA 25X 7, ESTÉRIL.;1,43;7150
011/2023;11855;105;SERINGA DESCARTAVEL 1ML C AGULHA 20MM X 0,55 COM BICO LUER LOCK, ESTERIL;10000;Solidor;Solidor;;SERINGA DESCARTAVEL 1ML C/AGULHA20MMX0,55 COM BICO LUER LOCK,ESTERIL;0,52;5200
011/2023;11856;106;SERINGA DESCARTÁVEL 03 ML C/ AGULHA 25 X 7 COM BICO LUER LOCK estéril,,;3000;Descarpack;Descarpack;;SERINGA DESCARTÁVEL 03 ML C/ AGULHA 25X 7 COM BICO LUER LOCK, ESTÉRIL.;0,48;1440
011/2023;11857;107;SERINGA DESCARTÁVEL 03 ML C/ AGULHA 25 X 7 estéril,,;3000;Descarpack;Descarpack;;SERINGA DESCARTÁVEL 3 ML C/ AGULHA 25 X7, ESTÉRIL.;0,48;1440
011/2023;11858;108;SERINGA DESCARTÁVEL 05 ML C/ AGULHA 25 X 7 COM BICO LUER LOCK estéril,,;3000;SR;SR;;SERINGA DESCARTÁVEL 5 ML C/ AGULHA 25 X7 COM BICO LUER LOCK, ESTÉRIL.;0,56;1680
011/2023;11859;109;SERINGA DESCARTÁVEL 05 ML C/ AGULHA 25 X 7 estéril,,;3000;SR;SR;;SERINGA DESCARTÁVEL 5 ML C/ AGULHA 25 X 7, ESTÉRIL.;0,56;1680
011/2023;11860;110;SERINGA PARA INSULINA DE 1ML, COM AGULHA 13MM X 0,45MM, CORPO TRANSPARENTE, CILINDRO COM ANEL DE RETENÇÃO, PRODUTO DE USO ÚNICO, ESTÉRIL, APIROGÊNICA, ATÓXICA, LÁTEX FREE;15000;Solidor;Solidor;;SERINGA PARA INSULINA DE 1ML, COM AGULHA 13MM X 0,45MM, CORPO TRANSPARENTE, CILINDRO COM ANEL DE RETENÇÃO, PRODUTO DE USO ÚNICO, ESTÉRIL, APIROGÊNICA, ATÓXICA, LÁTEXFREE.;0,46;6900
011/2023;11861;111;SONDA DE ALIVIO URETRAL DESCARTÁVEL Nº 04,;2000;;;;;;
011/2023;11862;112;SONDA DE ALIVIO URETRAL DESCARTÁVEL Nº 06,;4000;;;;;;
011/2023;11863;113;SONDA DE ALIVIO URETRAL DESCARTÁVEL Nº 08,;8000;;;;;;
011/2023;11864;114;SONDA DE ALIVIO URETRAL DESCARTÁVEL Nº 10,;5000;;;;;;
011/2023;11865;115;SONDA DE ALIVIO URETRAL DESCARTÁVEL Nº 12,;10000;;;;;;
011/2023;11866;116;SONDA DE ALIVIO URETRAL DESCARTÁVEL Nº 14,;5000;;;;;;
011/2023;11867;117;SONDA DE ALIVIO URETRAL DESCARTÁVEL Nº 16,;5000;;;;;;
011/2023;11868;118;SONDA FOLEN Nº 10, comprimento 40 (+/-2) cm, com balão resistente e simétrico, em látex siliconizado, atóxica, flexível, atraumática, duas vias, uma via funil e outra via com válvula com perfeita vedação para enchimento de balão, ponta cilíndrica, macia, de fundo cego, dois orifícios grandes, lisos e arredondados nas laterais sem lados opostos (após o balão), Calibre e capacidade do balão estampados em local visível e permanente, Estéril e descartável, Embalagem individual com abertura em pétala e asséptica,;100;;;;;;
011/2023;11869;119;SONDA FOLEN Nº 12, comprimento 40 (+/-2) cm, com balão resistente e simétrico, em látex siliconizado, atóxica, flexível, atraumática, duas vias, uma via funil e outra via com válvula com perfeita vedação para enchimento de balão, ponta cilíndrica, macia, de fundo cego, dois orifícios grandes, lisos e arredondados nas laterais sem lados opostos (após o balão), Calibre e capacidade do balão estampados em local visível e permanente, Estéril e descartável, Embalagem individual com abertura em pétala e asséptica,;100;;;;;;
011/2023;11870;120;SONDA FOLEN Nº 14, comprimento 40 (+/-2) cm, com balão resistente e simétrico, em látex siliconizado, atóxica, flexível, atraumática, duas vias, uma via funil e outra via com válvula com perfeita vedação para enchimento de balão, ponta cilíndrica, macia, de fundo cego, dois orifícios grandes, lisos e arredondados nas laterais sem lados opostos (após o balão), Calibre e capacidade do balão estampados em local visível e permanente, Estéril e descartável, Embalagem individual com abertura em pétala e asséptica,;100;;;;;;
011/2023;11871;121;SONDA FOLEN Nº 16, comprimento 40 (+/-2) cm, com balão resistente e simétrico, em látex siliconizado, atóxica, flexível, atraumática, duas vias, uma via funil e outra via com válvula com perfeita vedação para enchimento de balão, ponta cilíndrica, macia, de fundo cego, dois orifícios grandes, lisos e arredondados nas laterais sem lados opostos (após o balão), Calibre e capacidade do balão estampados em local visível e permanente, Estéril e descartável, Embalagem individual com abertura em pétala e asséptica,;100;;;;;;
011/2023;11872;122;SONDA FOLEN Nº 18, comprimento 40 (+/-2) cm, com balão resistente e simétrico, em látex siliconizado, atóxica, flexível, atraumática, duas vias, uma via funil e outra via com válvula com perfeita vedação para enchimento de balão, ponta cilíndrica, macia, de fundo cego, dois orifícios grandes, lisos e arredondados nas laterais sem lados opostos (após o balão), Calibre e capacidade do balão estampados em local visível e permanente, Estéril e descartável, Embalagem individual com abertura em pétala e asséptica,;100;;;;;;
011/2023;11873;123;SONDA FOLEN Nº 20, comprimento 40 (+/-2) cm, com balão resistente e simétrico, em látex siliconizado, atóxica, flexível, atraumática, duas vias, uma via funil e outra via com válvula com perfeita vedação para enchimento de balão, ponta cilíndrica, macia, de fundo cego, dois orifícios grandes, lisos e arredondados nas laterais sem lados opostos (após o balão), Calibre e capacidade do balão estampados em local visível e permanente, Estéril e descartável, Embalagem individual com abertura em pétala e asséptica,;100;;;;;;
011/2023;11874;124;SONDA FOLEN Nº 22, comprimento 40 (+/-2) cm, com balão resistente e simétrico, em látex siliconizado, atóxica, flexível, atraumática, duas vias, uma via funil e outra via com válvula com perfeita vedação para enchimento de balão, ponta cilíndrica, macia, de fundo cego, dois orifícios grandes, lisos e arredondados nas laterais sem lados opostos (após o balão), Calibre e capacidade do balão estampados em local visível e permanente, Estéril e descartável, Embalagem individual com abertura em pétala e asséptica,;100;;;;;;
011/2023;11875;125;SOLUÇÃO FISIOLOGICA A 0,9% 100 ML,;1000;;;;;;
011/2023;11876;126;SOLUÇÃO FISIOLOGICA A 0,9% 250 ML,;3000;Helix Istar;Helix Istar;;SOLUÇÃO FISIOLOGICA A 0,9% 250 ML;9,09;27270
011/2023;11877;127;SOLUÇÃO FISIOLOGICA A 0,9% 500 ML,;10000;Helix Istar;Helix Istar;;SOLUÇÃO FISIOLOGICA A 0,9% 500 ML;9,36;93600
011/2023;11878;128;SOLUÇÃO FISIOLOGICA A 0,9% 1000 ML,;3000;;;;;;
011/2023;11879;129;SORO GALÃOICOSADO 5% 250 ML,;1000;;;;;;
011/2023;11880;130;TIRAS REAGENTES PARA TESTE DE GALÃOICEMIA PARA USO COM O MONITOR, CAIXA COM 50 UN, OBS A EMPRESA VENCEDORA DESTE ITEM, DEVERÁ FORNECERA QUANTIDADE DE 50 MONITORES DE GALÃOICEMIA COMPATÍVEL COM A MARCA OFERTADA PARA ESTE ITEM;1500;On Call Plus;On Call Plus;;TIRAS REAGENTES PARA TESTE DE GLICEMIA PARA USO COM O MONITOR, CAIXA COM 50 UNIDADES.OBS: A EMPRESA VENCEDORA DESTE ITEM, DEVERÁ FORNECER A QUANTIDADE DE 50MONITORES DE GLICEMIA COMPATÍVEL COM A MARCA OFERTADA PARA ESTE ITEM.;50,7;76050
011/2023;11881;131;TOUCA DESCARTAVEL EM TNT UNIDADE COM 100 UNIDADEES,;500;Anadona;Anadona;;TOUCA DESCARTAVELEM TNT, DESCARTAVELPACOTE COM 100 UNIDADES;11,7;5850
011/2023;11882;132;TERMÔMETRO INFRA VERMELHO, MODO DE MEDIÇÃO DE TEMPERATURA 32C-43°C, FAIXA DE TEMPERATURA DO OBJETO 0-100 °C DENTRO DE 1-15CM DISTÂNCIA DE MEDIÇÃO, SEGURO, LIMPO, ESTÁVEL E COM DESEMPENHO CONFIÁVEL VISOR LCD,;200;Multilaser;Multilaser;;TERMÔMETRO INFRA VERMELHO, MODO DE MEDIÇÃO DE TEMPERATURA: 32C-43°C, FAIXA DE TEMPERATURA DO OBJETO: 0-100°C. DENTRO DE 1-15CM DISTÂNCIA DE MEDIÇÃO, SEGURO, LIMPO, ESTÁVEL E COMDESEMPENHO CONFIÁVEL. VISOR LCD,;143;28600
011/2023;11883;133;TERMOMETRO DIGITAL, VISOR EM DISPLAY LED, AUTO MEMÓRIA, MOSTRA A ÚLTIMA TEMPERATURA PARA COMPARAÇÃO, PRECISÃO DE + OU - 01°C;50;;;;;;
011/2023;11884;134;FIXADOR CITOLÓGICO DESTINADO À FIXAÇÃO DE ESFREGAçOS FEITOS A PARTIR DE MATERIAL, COLHIDO DA EXTO CÉRVICE, ENDOCÉRVICE, PAREDE VAGINAL E ESFREGAÇOS DE MATERIAL COLHIDO EM OUTRAS ÁREAS DO ORGANISMO À BASE DE PROPILENOGALÃOICOL E ÁLCOOL SISTEMA TIPO SPRAY COM PROPRIEDADES PARA FIXAÇÃO E SUSTENTAÇÃO DA INTEGRIDADE CELULAR DE ESFREGAÇOS DE MATERIAL BIOLÓGICO ESTENDIDOS EM LÂMINA DE VIDRO EMBALAGEM DE 100ML;100;;;;;;
011/2023;11885;135;PRO-PÉ PRODUZIDO TECIDO 100% POLIPROPILENO, SISTEMA DE ELÁSTICO DUPLO DE ALTA QUALIDADE SOLDADO EM TODA VOLTA PRODUTO DESCARTÁVEL, UNIDADE COM NO MÍNIMO 100 UNIDADEES;300;;;;;;
011/2023;11886;136;ÓCULOS DE PROTEÇÃO INDIVIDUAL, USO HOSPITALAR LENTE EM POLICARBONATO, TRANSPARENTE, COM PELÍCULA ANTE EMBAÇANTE, ARMAÇÃO EM NYLON PRETO E FLEXÍVEL, LENTES COM APOIO NASAL E PROTEÇÃO LATERAL EM POLICARBONATO, HASTES TIPO ESPÁTULA COM AJUSTE DE COMPRIMENTO LAVÁVEL E PASSÍVEL DE DESINFECÇÃO QUÍMICA;500;;;;;;
011/2023;11887;137;PROTETOR FACIAL DESENVOLVIDO ESPECIALMENTE PARA A ÁREA MEDICA, CIRÚRGICA E ODONTOLÓGICA, PROTETOR FACIAL CONTRA RESPINGOS COMPOSTO POR UM FILME DE PLÁSTICO E UMA ESPUMA PARA RETENÇÃO DO SUOR;500;;;;;;
011/2023;11888;138;MASCARA RESPIRATORIA MODELO PFF 2 S, na cor azul, com certificado de aprovaçao (ca), resistencia contra fluidos, eficacia de filtragem de particulas e bacterias, capacidade de filtrar materiais particulados;5000;;;;;;
